sampName,condition,size,size_bin,Field,type,KRN,Total_kernel_number,IM_height,Cob_length,Cob_diameter,Number_kernels_row,twenty_kernel_weight,SAM_radius,SAM_height
B73_1b,B73,454.8889849,c,WN21,stiff,17.27,186.41,243.5159012,139.88,29.79,24.78,4.56,82.9954,129.5369
B73_2b,B73,454.8889849,c,WN21,stiff,17.27,186.41,243.5159012,139.88,29.79,24.78,4.56,82.9954,129.5369
B73_1,B73,454.8889849,c,WN20,stiff,17.27,186.41,243.5159012,139.88,29.79,24.78,4.56,82.9954,129.5369
B73_2,B73,454.8889849,c,WN20,stiff,17.27,186.41,243.5159012,139.88,29.79,24.78,4.56,82.9954,129.5369
B73_3,B73,454.8889849,c,WN20,stiff,17.27,186.41,243.5159012,139.88,29.79,24.78,4.56,82.9954,129.5369
B104_1,B104,351.8180585,b,WN20,stiff,14,,237.2140564,,,,,,
B104_2,B104,351.8180585,b,WN20,stiff,14,,237.2140564,,,,,,
B104_3,B104,351.8180585,b,WN20,stiff,14,,237.2140564,,,,,,
CML103_2b,CML103,371.8152204,b,WN21,tropical,13.5,204.88,245.1648376,153.58,26.96,23.11,5.07,70.7104,116.6321
CML103_3b,CML103,371.8152204,b,WN21,tropical,13.5,204.88,245.1648376,153.58,26.96,23.11,5.07,70.7104,116.6321
CML228_1b,CML228,379.8975332,b,WN21,tropical,12.37,189.89,231.1325433,121.06,21.69,19.97,4.81,71.7468,103.2235
CML228_2b,CML228,379.8975332,b,WN21,tropical,12.37,189.89,231.1325433,121.06,21.69,19.97,4.81,71.7468,103.2235
CML228_3b,CML228,379.8975332,b,WN21,tropical,12.37,189.89,231.1325433,121.06,21.69,19.97,4.81,71.7468,103.2235
CML277_1,CML277,335.3267611,b,WN20,tropical,10.94,248.67,243.8840643,102.92,24.92,15.33,4.62,68.1285,103.8754
CML277_2,CML277,335.3267611,b,WN20,tropical,10.94,248.67,243.8840643,102.92,24.92,15.33,4.62,68.1285,103.8754
CML277_3,CML277,335.3267611,b,WN20,tropical,10.94,248.67,243.8840643,102.92,24.92,15.33,4.62,68.1285,103.8754
CML322_1b,CML322,338.4576415,b,WN21,tropical,15.44,213.08,206.6503162,126.95,26.42,23.27,3.38,70.1236,75.8999
CML322_2b,CML322,338.4576415,b,WN21,tropical,15.44,213.08,206.6503162,126.95,26.42,23.27,3.38,70.1236,75.8999
CML322_1,CML322,338.4576415,b,WN20,tropical,15.44,213.08,206.6503162,126.95,26.42,23.27,3.38,70.1236,75.8999
CML322_2,CML322,338.4576415,b,WN20,tropical,15.44,213.08,206.6503162,126.95,26.42,23.27,3.38,70.1236,75.8999
CML322_3,CML322,338.4576415,b,WN20,tropical,15.44,213.08,206.6503162,126.95,26.42,23.27,3.38,70.1236,75.8999
CML333_1,CML333,272.6212207,a,WN20,tropical,12.13,175.22,232.6024979,119.21,25.26,18.56,4.07,74.0668,117.2346
